,item,other_cropland_farms_2002,other_cropland_acres_2002,not_pastured_or_grazed_see_text_farms_2002,not_pastured_or_grazed_see_text_acres_2002,cropland_on_which_all_crops_failed_farms_2002,cropland_on_which_all_crops_failed_acres_2002,cropland_in_cultivated_summer_fallow_farms_2002,cropland_in_cultivated_summer_fallow_acres_2007,cropland_in_cultivated_summer_fallow_acres_2002,total_woodland_farms_2007,total_woodland_farms_2002,total_woodland_acres_2007,total_woodland_acres_2002,woodland_pastured_farms_2007,woodland_pastured_farms_2002,woodland_pastured_acres_2007,woodland_pastured_acres_2002,woodland_not_pastured_farms_2007
94,mcminn,142,2950.0,116,2463.0,29,,2.0,,,728,707,26612,27069,444.0,433,11976.0,11965.0,415
95,mcnairy,312,20286.0,294,19067.0,34,,1.0,,,436,445,32325,36688,183.0,188,6316.0,7344.0,333
99,macon,253,6479.0,236,6043.0,25,436.0,,,,682,865,33454,42106,442.0,527,13469.0,18851.0,401
100,madison,263,15772.0,252,13541.0,39,2231.0,,,,332,365,24165,24723,116.0,148,5215.0,5375.0,265
101,marion,29,692.0,25,625.0,5,67.0,,,,202,155,12957,14703,109.0,90,3270.0,2158.0,125
103,marshall,135,3861.0,115,3513.0,22,,1.0,,,628,754,32248,39370,485.0,540,20355.0,24194.0,260
104,maury,204,5885.0,185,5287.0,32,,1.0,,,946,982,39248,46552,650.0,724,23527.0,28377.0,410
105,meigs,64,1618.0,56,1326.0,10,,2.0,,,216,230,11353,14420,128.0,129,4330.0,3957.0,135
107,monroe,138,2978.0,130,2716.0,16,,1.0,,,545,577,17328,18516,353.0,354,9089.0,8145.0,289
108,montgomery,242,9362.0,214,8404.0,39,813.0,6.0,11.0,145.0,499,624,25525,36076,259.0,323,8915.0,14068.0,367
113,moore,57,1376.0,52,1255.0,5,,1.0,,,206,269,10252,13767,159.0,201,7176.0,9748.0,90
115,morgan,66,1507.0,53,1195.0,22,300.0,3.0,,12.0,306,284,16952,18185,175.0,143,4526.0,4471.0,219
117,obion,183,10572.0,168,8661.0,19,1911.0,,,,267,279,13646,18286,116.0,126,3815.0,4411.0,196
118,overton,154,4674.0,137,4384.0,27,274.0,4.0,8.0,16.0,619,644,29184,32221,347.0,347,9649.0,9437.0,408
119,perry,69,2125.0,60,1765.0,12,,1.0,,,178,146,19557,19418,81.0,44,5412.0,2990.0,145
121,pickett,61,1120.0,57,1043.0,8,77.0,,,,191,245,7612,11590,121.0,131,2266.0,2621.0,113
123,polk,39,1470.0,36,1411.0,2,,1.0,,,152,131,5876,6596,88.0,67,1428.0,1258.0,96
125,putnam,186,4362.0,161,4101.0,30,261.0,,,,613,742,28648,32601,305.0,405,9452.0,10410.0,407
127,rhea,76,2731.0,66,2482.0,16,249.0,,,,280,295,13481,14695,160.0,161,3565.0,3673.0,167
129,roane,119,2101.0,101,1810.0,33,,1.0,,,384,472,17466,20314,198.0,211,5222.0,4479.0,282
131,robertson,316,7901.0,295,7273.0,35,613.0,6.0,38.0,15.0,759,805,22414,22988,367.0,384,8317.0,8560.0,509
132,rutherford,207,6393.0,183,5668.0,39,,1.0,,,713,965,33476,46342,489.0,639,19308.0,26067.0,347
133,scott,26,561.0,24,549.0,4,12.0,,,,165,202,12398,14854,72.0,97,2014.0,2470.0,126
135,sequatchie,29,1069.0,26,1066.0,3,3.0,,,,120,129,7302,8149,60.0,47,1515.0,1306.0,81
136,sevier,113,2676.0,97,2302.0,20,368.0,4.0,6.0,6.0,412,489,13548,16359,258.0,295,5873.0,7309.0,237
138,shelby,137,9589.0,118,8981.0,27,608.0,,,,222,212,9572,10048,113.0,97,2608.0,1876.0,138
