Humphreys County,"18,538","8,865",530 .98,34 .9,16 .7,3 .4,13 .4,–0 .9,4 .5,18 .9,9 .6
Jackson County,"11,638","5,843",308 .32,37 .7,19 .0,6 .0,18 .1,–1 .1,13 .2,22 .4,13 .9
Jefferson County,"51,407","23,499",274 .08,187 .6,85 .7,16 .1,34 .2,5 .5,21 .6,36 .3,15 .9
Johnson County,"18,244","8,956",298 .47,61 .1,30 .0,4 .3,27 .1,0 .2,13 .7,29 .4,13 .1
Knox County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"432,226","194,949",508 .22,850 .5,383 .6,13 .1,13 .8,5 .0,13 .7,19 .4,14 .1
Lake County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"7,832","2,598",165 .78,47 .2,15 .7,–1 .5,11 .6,–4 .4,–4 .3,4 .1,–13 .0
Lauderdale County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"27,815","11,256",471 .99,58 .9,23 .8,2 .6,15 .4,–4 .3,6 .6,13 .1,0 .8
Lawrence County,"41,869","18,177",617 .13,67 .8,29 .5,4 .9,13 .1,3 .5,8 .1,18 .2,13 .5
Lewis County,"12,161","5,470",282 .09,43 .1,19 .4,7 .0,22 .9,–4 .7,13 .5,22 .3,21 .4
Lincoln County,"33,361","15,241",570 .34,58 .5,26 .7,6 .4,11 .3,6 .3,8 .9,17 .6,15 .6
Loudon County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"48,556","21,725",229 .22,211 .8,94 .8,24 .2,25 .1,9 .5,25 .7,33 .0,19 .9
McMinn County,"52,266","23,341",430 .12,121 .5,54 .3,6 .6,15 .6,1 .2,7 .9,22 .8,11 .5
McNairy County,"26,075","11,933",562 .86,46 .3,21 .2,5 .8,10 .0,–0 .5,6 .4,15 .3,8 .0
Macon County,"22,248","9,861",307 .14,72 .4,32 .1,9 .1,28 .2,1 .3,10 .9,29 .3,12 .8
Madison County,"98,294","41,877",557 .12,176 .4,75 .2,7 .0,17 .8,4 .6,9 .6,20 .1,10 .3
Marion County,"28,237","12,954",498 .16,56 .7,26 .0,1 .7,11 .7,1 .8,6 .7,21 .3,10 .9
Marshall County,"30,617","13,119",375 .46,81 .5,34 .9,14 .4,24 .3,9 .3,17 .3,25 .5,16 .5
Maury County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"80,956","35,254",613 .14,132 .0,57 .5,16 .5,26 .8,7 .3,22 .9,28 .7,14 .1
Meigs County,"11,753","5,628",195 .12,60 .2,28 .8,6 .0,38 .0,8 .1,8 .5,40 .6,23 .1
Monroe County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"44,519","20,787",635 .56,70 .0,32 .7,14 .3,27 .6,6 .4,20 .2,35 .0,16 .4
Montgomery County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"172,331","70,098",539 .18,319 .6,130 .0,27 .9,34 .1,20 .6,34 .4,40 .1,25 .3
Moore County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"6,362","2,915",129 .22,49 .2,22 .6,10 .8,21 .6,4 .7,15 .9,31 .5,14 .6
Morgan County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"21,987","8,920",522 .18,42 .1,17 .1,11 .3,14 .2,4 .2,15 .6,20 .9,7 .7
Obion County,"31,807","14,659",544 .73,58 .4,26 .9,–2 .0,2 .3,–3 .2,1 .2,8 .5,2 .3
Overton County,"22,083","10,295",433 .48,50 .9,23 .7,9 .8,14 .1,0 .3,12 .3,24 .1,13 .2
Perry County,"7,915","4,599",414 .73,19 .1,11 .1,3 .7,15 .4,8 .2,11 .8,27 .6,13 .5
Pickett County,"5,077","3,462",162 .98,31 .2,21 .2,2 .7,8 .7,4 .4,17 .1,31 .2,20 .7
"",,Housing,in square,Population,unit,2000 to,1990 to,1980 to,2000 to,1990 to,1980 to
"",Population,units,miles,density,density,2010,2000,1990,2010,2000,1990
Polk County,"16,825","7,991",434 .68,38 .7,18 .4,4 .8,17 .6,0 .3,8 .4,30 .2,11 .2
Putnam County,"72,321","31,882",401 .10,180 .3,79 .5,16 .1,21 .3,7 .7,18 .4,25 .7,20 .3
Rhea County,"31,809","14,365",315 .38,100 .9,45 .5,12 .0,16 .7,0 .4,14 .3,21 .3,10 .4
Roane County,"54,181","25,716",360 .71,150 .2,71 .3,4 .4,9 .9,–2 .5,10 .0,14 .9,8 .6
Robertson County,"66,283","26,086",476 .29,139 .2,54 .8,21 .8,31 .2,12 .1,24 .2,32 .7,18 .9
Rutherford County,"262,604","102,968",619 .36,424 .0,166 .2,44 .3,53 .5,41 .1,45 .8,54 .3,49 .8
Scott County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"22,228","9,910",532 .30,41 .8,18 .6,5 .2,15 .1,–4 .7,11 .2,25 .1,7 .8
Sequatchie County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"14,112","6,368",265 .86,53 .1,24 .0,24 .1,28 .3,3 .0,29 .5,37 .7,12 .9
Sevier County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"89,889","55,918",592 .50,151 .7,94 .4,26 .3,39 .4,23 .2,50 .1,54 .2,38 .1
Shelby County,"927,644","398,274",763 .17,"1,215 .5",521 .9,3 .4,8 .6,6 .3,9 .7,10 .7,14 .5
Smith County,"19,166","8,529",314 .29,61 .0,27 .1,8 .2,25 .2,–5 .3,11 .3,26 .7,–
Stewart County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"13,324","6,778",459 .33,29 .0,14 .8,7 .7,30 .5,9 .4,13 .4,36 .3,22 .4
Sullivan County,"156,823","73,760",413 .36,379 .4,178 .4,2 .5,6 .6,–0 .3,6 .8,13 .9,10 .3
Sumner County,"160,645","65,968",529 .45,303 .4,124 .6,23 .1,26 .3,20 .4,27 .7,29 .8,32 .0
Tipton County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"61,081","23,199",458 .37,133 .3,50 .6,19 .1,36 .5,14 .1,21 .7,35 .5,21 .6
Trousdale County,"7,870","3,368",114 .19,68 .9,29 .5,8 .4,22 .6,–3 .5,8 .8,22 .0,1 .6
Unicoi County  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .,"18,313","8,830",186 .17,98 .4,47 .4,3 .7,6 .8,1 .1,7 .5,16 .1,10 .6
Union County,"19,109","8,958",223 .55,85 .5,40 .1,7 .3,30 .0,17 .0,13 .2,39 .0,22 .7
Van Buren County,"5,548","2,663",273 .42,20 .3,9 .7,0 .7,13 .7,2 .5,8 .6,22 .6,14 .1
Warren County,"39,839","17,821",432 .68,92 .1,41 .2,4 .1,16 .0,1 .0,6 .8,20 .9,6 .4
Washington County,"122,979","57,254",326 .46,376 .7,175 .4,14 .7,16 .1,4 .0,19 .8,24 .5,14 .0
Wayne County,"17,021","7,287",734 .10,23 .2,9 .9,1 .1,20 .9,–0 .1,8 .7,16 .7,10 .9
Weakley County,"35,021","15,495",580 .36,60 .3,26 .7,0 .4,9 .1,–2 .8,3 .8,16 .1,3 .2
White County,"25,841","11,511",376 .67,68 .6,30 .6,11 .9,15 .0,2 .7,13 .0,21 .8,10 .3
Williamson County,"183,182","68,498",582 .60,314 .4,117 .6,44 .7,56 .3,39 .4,45 .7,57 .3,51 .5
Wilson County,"113,993","45,568",570 .83,199 .7,79 .8,28 .4,31 .2,20 .7,30 .5,33 .3,30 .1
